id	qq_sesame_seeds	quinces	qsp_water	qs_red_powder_coloring	qs_of_icing_sugar	qs_of_jam__strawberries__blackberries__raspberries__	quail_eggs	quail_egg	qs_fresh_cream
254	N_S	0	0	0	0	0	0	0	0
599	0	2	0	0	0	0	0	0	0
600	0	2	0	0	0	0	0	0	0
747	0	0	N_S	0	0	0	0	0	0
1075	0	0	0	N_S	0	0	0	0	0
1200	0	0	0	0	N_S	0	0	0	0
1200	0	0	0	0	0	N_S	0	0	0
1564	0	0	0	0	0	0	4	0	0
1976	0	0	0	0	0	0	0	N_S	0
2183	0	0	0	0	0	0	0	1	0
2507	0	0	0	0	0	0	0	0	N_S
